learning_rate,batch_size,num_epochs,optimizer,weight_decay,dropout_rate,num_conv_layers,conv_layer_sizes,kernel_size,stride,padding,maxpool,use_batchnorm,train_acc,intra_test_acc,cross_test_acc
0.001,64,30,adam,0.0,0.3,2,"[16, 32, 64]",3,1,1,2,True,0.7703125,0.7125,0.12142857142857143
0.01,128,30,adam,0.0,0.5,2,"[16, 32, 64]",3,2,1,2,True,0.784375,0.6625,0.14404761904761904
0.01,64,30,adam,0.0,0.5,2,"[16, 32, 64]",3,2,1,2,True,0.7,0.65625,0.11845238095238095
0.01,128,50,adam,0.0001,0.3,3,"[32, 64, 128]",3,2,1,1,True,0.6921875,0.61875,0.13333333333333333
0.01,32,50,sgd,0.0,0.3,2,"[32, 64, 128]",3,1,1,2,False,0.5640625,0.49375,0.1351190476190476
0.1,128,30,sgd,0.0001,0.5,3,"[32, 64, 128]",3,2,1,1,True,0.3828125,0.3875,0.11011904761904762
0.01,32,50,sgd,0.0001,0.3,2,"[32, 64, 128]",3,2,1,2,False,0.346875,0.34375,0.13095238095238096
0.01,128,50,sgd,0.0001,0.3,3,"[32, 64, 128]",3,1,1,1,True,0.3265625,0.3,0.12083333333333333
0.01,64,50,sgd,0.0001,0.0,3,"[32, 64, 128]",3,1,1,2,True,0.284375,0.275,0.11726190476190476
0.001,64,50,sgd,0.0,0.3,2,"[32, 64, 128]",5,1,1,2,False,0.1671875,0.14375,0.09523809523809523
0.001,32,50,sgd,0.0,0.3,3,"[32, 64, 128]",5,2,1,1,False,0.109375,0.125,0.1113095238095238
0.01,64,50,adam,0.0,0.3,2,"[32, 64, 128]",5,2,1,2,False,0.1265625,0.11875,0.1130952380952381
0.001,128,30,sgd,0.0,0.3,3,"[32, 64, 128]",5,1,1,2,True,0.1125,0.1125,0.12261904761904761
0.001,32,30,sgd,0.0,0.5,3,"[16, 32, 64]",5,1,1,1,False,0.1359375,0.1125,0.10416666666666667
0.1,64,50,adam,0.0001,0.3,3,"[32, 64, 128]",3,2,1,2,False,0.1,0.1,0.1
0.01,32,50,adam,0.0001,0.3,3,"[32, 64, 128]",3,2,1,1,False,0.1,0.1,0.1
0.1,128,50,adam,0.0001,0.0,2,"[32, 64, 128]",5,2,1,1,False,0.1,0.1,0.1
0.01,64,30,adam,0.0,0.3,3,"[32, 64, 128]",5,1,1,1,True,0.1,0.1,0.1
0.1,64,30,adam,0.0,0.0,3,"[16, 32, 64]",5,1,1,2,False,0.1,0.1,0.1
0.1,32,50,adam,0.0001,0.0,2,"[32, 64, 128]",3,1,1,1,True,0.0875,0.08125,0.10238095238095238
