intra_test_acc,cross_test_acc,train_acc,learning_rate,batch_size,num_epochs,optimizer,weight_decay,dropout_rate,num_conv_layers,conv_layer_sizes,kernel_size,stride,padding,maxpool,use_batchnorm
0.83125,0.1386904761904762,0.9703125,0.001,128,70,adam,0.0001,0.3,3,"[32, 64, 128]",3,2,1,2,True
0.8125,0.1380952380952381,0.9171875,0.0001,32,50,adam,0.0001,0.3,3,"[32, 64, 128]",5,2,1,1,True
0.80625,0.1351190476190476,0.903125,0.001,128,70,adam,0.0,0.3,3,"[16, 32, 64]",5,2,1,1,True
0.80625,0.12738095238095237,0.89375,0.0001,32,70,adam,0.0001,0.3,3,"[32, 64, 128]",5,1,1,1,True
0.775,0.14523809523809525,0.8453125,0.0001,32,50,adam,0.0,0.0,3,"[32, 64, 128]",3,2,1,1,True
0.75625,0.13452380952380952,0.853125,0.0001,32,30,adam,0.0001,0.0,3,"[32, 64, 128]",5,1,1,1,True
0.75625,0.13690476190476192,0.8765625,0.001,32,50,adam,0.0001,0.3,3,"[32, 64, 128]",3,2,1,2,True
0.75,0.12261904761904761,0.825,0.001,128,50,adam,0.0001,0.0,2,"[16, 32, 64]",5,2,1,2,True
0.7375,0.13392857142857142,0.8171875,0.001,128,70,adam,0.0,0.0,2,"[16, 32, 64]",3,2,1,2,True
0.7375,0.1261904761904762,0.809375,0.001,128,30,adam,0.0,0.5,3,"[16, 32, 64]",5,2,1,1,True
0.73125,0.12202380952380952,0.821875,0.01,64,70,adam,0.0001,0.3,2,"[16, 32, 64]",3,2,1,2,True
0.725,0.13214285714285715,0.803125,0.01,128,50,adam,0.0001,0.5,3,"[16, 32, 64]",3,2,1,1,True
0.70625,0.12738095238095237,0.7609375,0.001,128,50,adam,0.0001,0.5,3,"[32, 64, 128]",5,2,1,2,False
0.70625,0.12261904761904761,0.76875,0.01,64,50,adam,0.0001,0.3,2,"[32, 64, 128]",3,2,1,2,True
0.7,0.12916666666666668,0.8140625,0.001,64,70,adam,0.0001,0.5,2,"[32, 64, 128]",5,2,1,2,False
0.6375,0.14285714285714285,0.703125,0.0001,32,50,adam,0.0001,0.3,2,"[32, 64, 128]",5,2,1,2,True
0.6375,0.1244047619047619,0.7171875,0.01,64,50,adam,0.0,0.5,2,"[16, 32, 64]",3,2,1,2,False
0.63125,0.14107142857142857,0.7109375,0.01,128,50,adam,0.0001,0.3,2,"[32, 64, 128]",5,2,1,1,True
0.625,0.12083333333333333,0.675,0.1,64,70,sgd,0.0,0.3,2,"[32, 64, 128]",3,1,1,2,False
0.61875,0.12083333333333333,0.71875,0.001,64,30,adam,0.0,0.3,2,"[16, 32, 64]",5,2,1,2,False
0.6125,0.12202380952380952,0.7015625,0.1,32,70,sgd,0.0,0.5,3,"[16, 32, 64]",5,1,1,1,False
0.60625,0.13690476190476192,0.646875,0.0001,64,50,adam,0.0,0.3,2,"[16, 32, 64]",3,1,1,2,True
0.59375,0.13035714285714287,0.6421875,0.0001,32,70,adam,0.0,0.0,2,"[16, 32, 64]",5,2,1,2,False
0.59375,0.11666666666666667,0.675,0.1,32,30,sgd,0.0,0.3,3,"[16, 32, 64]",5,1,1,2,True
0.5875,0.1261904761904762,0.6375,0.1,64,50,sgd,0.0,0.0,2,"[32, 64, 128]",3,1,1,2,False
0.56875,0.12976190476190477,0.63125,0.01,128,70,adam,0.0,0.0,3,"[32, 64, 128]",3,1,1,2,False
0.5625,0.12380952380952381,0.6,0.0001,128,30,adam,0.0001,0.0,2,"[32, 64, 128]",5,1,1,1,False
0.55625,0.11964285714285715,0.6140625,0.0001,128,50,adam,0.0,0.5,3,"[32, 64, 128]",5,2,1,2,True
0.55,0.13452380952380952,0.615625,0.0001,32,30,adam,0.0001,0.5,2,"[32, 64, 128]",5,2,1,1,True
0.54375,0.1261904761904762,0.6015625,0.0001,128,50,adam,0.0,0.0,3,"[16, 32, 64]",3,1,1,1,False
0.5375,0.12142857142857143,0.565625,0.1,64,70,sgd,0.0001,0.3,3,"[16, 32, 64]",5,2,1,1,False
0.49375,0.12976190476190477,0.5203125,0.0001,128,30,adam,0.0001,0.0,2,"[16, 32, 64]",3,1,1,1,False
0.475,0.13988095238095238,0.5296875,0.0001,64,30,adam,0.0,0.0,3,"[16, 32, 64]",3,1,1,2,True
0.4375,0.11607142857142858,0.459375,0.0001,32,30,adam,0.0,0.5,3,"[16, 32, 64]",3,1,1,2,False
0.3875,0.12380952380952381,0.45,0.1,64,30,sgd,0.0,0.3,2,"[16, 32, 64]",5,2,1,2,False
0.3125,0.14107142857142857,0.334375,0.1,64,50,sgd,0.0,0.0,3,"[32, 64, 128]",5,2,1,2,False
0.3,0.12678571428571428,0.3265625,0.0001,64,30,adam,0.0001,0.5,3,"[16, 32, 64]",3,2,1,2,True
0.25625,0.12261904761904761,0.2796875,0.0001,128,30,adam,0.0001,0.5,3,"[16, 32, 64]",5,1,1,2,False
0.2375,0.10892857142857143,0.2390625,0.01,32,50,adam,0.0,0.3,2,"[16, 32, 64]",3,1,1,2,True
0.23125,0.10654761904761904,0.271875,0.01,64,30,sgd,0.0,0.3,3,"[32, 64, 128]",5,2,1,1,True
0.225,0.12142857142857143,0.2421875,0.1,128,50,sgd,0.0,0.5,3,"[16, 32, 64]",5,2,1,2,True
