Epoch 1/500, Train Loss: 2.5417, Intra Testing Loss: 2.3061, Cross Testing Loss: 2.3055, 
Epoch 2/500, Train Loss: 2.3187, Intra Testing Loss: 2.3091, Cross Testing Loss: 2.3089, No improvement in the last 1 epochs
Epoch 3/500, Train Loss: 2.3148, Intra Testing Loss: 2.3128, Cross Testing Loss: 2.3152, No improvement in the last 2 epochs
Epoch 4/500, Train Loss: 2.3191, Intra Testing Loss: 2.3063, Cross Testing Loss: 2.3056, No improvement in the last 3 epochs
Epoch 5/500, Train Loss: 2.3128, Intra Testing Loss: 2.3124, Cross Testing Loss: 2.3123, No improvement in the last 4 epochs
Epoch 6/500, Train Loss: 2.3140, Intra Testing Loss: 2.3058, Cross Testing Loss: 2.3064, Improvement found, counter reset to 0
Epoch 7/500, Train Loss: 2.3155, Intra Testing Loss: 2.3075, Cross Testing Loss: 2.3077, No improvement in the last 1 epochs
Epoch 8/500, Train Loss: 2.3152, Intra Testing Loss: 2.3097, Cross Testing Loss: 2.3085, No improvement in the last 2 epochs
Epoch 9/500, Train Loss: 2.3175, Intra Testing Loss: 2.3115, Cross Testing Loss: 2.3112, No improvement in the last 3 epochs
Epoch 10/500, Train Loss: 2.3137, Intra Testing Loss: 2.3082, Cross Testing Loss: 2.3080, No improvement in the last 4 epochs
Epoch 11/500, Train Loss: 2.3192, Intra Testing Loss: 2.3102, Cross Testing Loss: 2.3104, Early stopping triggered after 5 epochs.
