Dataset,Fold,Accuracy,PCA Explained Variance Ratio
Standardized,1,0.46,"[0.3084577767155306, 0.13776651646482144, 0.10729692297284775, 0.06860659329230039, 0.053232725117376596, 0.037080530266324525, 0.03274265528094386, 0.02663574968958465, 0.023420228935847238, 0.020888729303439796]"
Standardized,2,0.4,"[0.3084577767155306, 0.13776651646482144, 0.10729692297284775, 0.06860659329230039, 0.053232725117376596, 0.037080530266324525, 0.03274265528094386, 0.02663574968958465, 0.023420228935847238, 0.020888729303439796]"
Standardized,3,0.49,"[0.3084577767155306, 0.13776651646482144, 0.10729692297284775, 0.06860659329230039, 0.053232725117376596, 0.037080530266324525, 0.03274265528094386, 0.02663574968958465, 0.023420228935847238, 0.020888729303439796]"
Standardized,4,0.53,"[0.3084577767155306, 0.13776651646482144, 0.10729692297284775, 0.06860659329230039, 0.053232725117376596, 0.037080530266324525, 0.03274265528094386, 0.02663574968958465, 0.023420228935847238, 0.020888729303439796]"
Standardized,5,0.34,"[0.3084577767155306, 0.13776651646482144, 0.10729692297284775, 0.06860659329230039, 0.053232725117376596, 0.037080530266324525, 0.03274265528094386, 0.02663574968958465, 0.023420228935847238, 0.020888729303439796]"
User-Defined,1,0.14,"[0.2821324426375423, 0.14262123464746596, 0.08663335455378517, 0.05707593371112729, 0.04449044669935074, 0.040060482360839256, 0.0355424393309798, 0.029571299034695915, 0.025316026726110493, 0.023331645166639173]"
User-Defined,2,0.16333333333333333,"[0.2821324426375423, 0.14262123464746596, 0.08663335455378517, 0.05707593371112729, 0.04449044669935074, 0.040060482360839256, 0.0355424393309798, 0.029571299034695915, 0.025316026726110493, 0.023331645166639173]"
User-Defined,3,0.1,"[0.2821324426375423, 0.14262123464746596, 0.08663335455378517, 0.05707593371112729, 0.04449044669935074, 0.040060482360839256, 0.0355424393309798, 0.029571299034695915, 0.025316026726110493, 0.023331645166639173]"
User-Defined,4,0.16333333333333333,"[0.2821324426375423, 0.14262123464746596, 0.08663335455378517, 0.05707593371112729, 0.04449044669935074, 0.040060482360839256, 0.0355424393309798, 0.029571299034695915, 0.025316026726110493, 0.023331645166639173]"
User-Defined,5,0.15,"[0.2821324426375423, 0.14262123464746596, 0.08663335455378517, 0.05707593371112729, 0.04449044669935074, 0.040060482360839256, 0.0355424393309798, 0.029571299034695915, 0.025316026726110493, 0.023331645166639173]"
